Date,Time,Open,High,Low,Close,Volume
2022.01.03,00:00,1.13706,1.13753,1.13665,1.13715,161
2022.01.03,00:30,1.13691,1.13740,1.13689,1.13740,71
2022.01.03,01:00,1.13732,1.13772,1.13672,1.13733,626
2022.01.03,01:30,1.13730,1.13741,1.13694,1.13728,286
2022.01.03,02:00,1.13729,1.13757,1.13667,1.13667,309
2022.01.03,02:30,1.13665,1.13668,1.13610,1.13619,358
2022.01.03,03:00,1.13620,1.13652,1.13600,1.13615,312
2022.01.03,03:30,1.13616,1.13617,1.13499,1.13584,646
2022.01.03,04:00,1.13585,1.13585,1.13481,1.13492,486
2022.01.03,04:30,1.13491,1.13496,1.13424,1.13426,404
2022.01.03,05:00,1.13428,1.13468,1.13421,1.13438,288
2022.01.03,05:30,1.13439,1.13499,1.13411,1.13482,320
2022.01.03,06:00,1.13483,1.13490,1.13431,1.13484,303
2022.01.03,06:30,1.13481,1.13481,1.13386,1.13405,312
2022.01.03,07:00,1.13402,1.13411,1.13365,1.13366,221
2022.01.03,07:30,1.13365,1.13408,1.13360,1.13379,294
2022.01.03,08:00,1.13378,1.13427,1.13378,1.13410,304
2022.01.03,08:30,1.13409,1.13462,1.13409,1.13430,295
2022.01.03,09:00,1.13430,1.13460,1.13361,1.13364,886
2022.01.03,09:30,1.13365,1.13499,1.13349,1.13479,1058
2022.01.03,10:00,1.13472,1.13475,1.13352,1.13368,1850
2022.01.03,10:30,1.13368,1.13470,1.13353,1.13462,1263
2022.01.03,11:00,1.13461,1.13561,1.13384,1.13386,1355
2022.01.03,11:30,1.13385,1.13554,1.13355,1.13508,1603
2022.01.03,12:00,1.13505,1.13596,1.13504,1.13552,1492
2022.01.03,12:30,1.13553,1.13591,1.13507,1.13553,1365
2022.01.03,13:00,1.13551,1.13661,1.13515,1.13605,1775
2022.01.03,13:30,1.13605,1.13621,1.13519,1.13554,1602
2022.01.03,14:00,1.13555,1.13560,1.13494,1.13534,1558
2022.01.03,14:30,1.13533,1.13593,1.13471,1.13584,1956
2022.01.03,15:00,1.13579,1.13631,1.13497,1.13630,2513
2022.01.03,15:30,1.13629,1.13641,1.13458,1.13505,2918
2022.01.03,16:00,1.13503,1.13517,1.13249,1.13261,2593
2022.01.03,16:30,1.13260,1.13290,1.12997,1.13060,3810
2022.01.03,17:00,1.13060,1.13093,1.12919,1.12954,3437
2022.01.03,17:30,1.12953,1.13010,1.12902,1.12916,3024
2022.01.03,18:00,1.12917,1.12987,1.12886,1.12922,2491
2022.01.03,18:30,1.12922,1.12954,1.12827,1.12884,2486
2022.01.03,19:00,1.12885,1.12898,1.12794,1.12815,1570
2022.01.03,19:30,1.12814,1.12865,1.12798,1.12837,886
2022.01.03,20:00,1.12837,1.12916,1.12831,1.12907,826
2022.01.03,20:30,1.12908,1.12967,1.12906,1.12946,837
2022.01.03,21:00,1.12947,1.12985,1.12937,1.12980,694
2022.01.03,21:30,1.12980,1.12995,1.12949,1.12972,836
2022.01.03,22:00,1.12971,1.12992,1.12960,1.12966,687
2022.01.03,22:30,1.12966,1.13002,1.12938,1.12965,1046
2022.01.03,23:00,1.12964,1.12973,1.12946,1.12972,166
2022.01.03,23:30,1.12973,1.12992,1.12965,1.12968,170
2022.01.04,00:00,1.12984,1.12995,1.12934,1.12948,731
2022.01.04,00:30,1.12945,1.12967,1.12941,1.12953,536
2022.01.04,01:00,1.12954,1.12996,1.12950,1.12995,492
2022.01.04,01:30,1.12994,1.13024,1.12956,1.13019,245
2022.01.04,02:00,1.13020,1.13068,1.13013,1.13040,416
2022.01.04,02:30,1.13041,1.13062,1.13038,1.13057,252
2022.01.04,03:00,1.13058,1.13088,1.13050,1.13059,525
2022.01.04,03:30,1.13060,1.13069,1.13013,1.13061,651
2022.01.04,04:00,1.13065,1.13082,1.13046,1.13067,478
2022.01.04,04:30,1.13066,1.13093,1.12997,1.13023,724
2022.01.04,05:00,1.13022,1.13043,1.12954,1.12993,771
2022.01.04,05:30,1.12994,1.13018,1.12977,1.12977,537
2022.01.04,06:00,1.12978,1.13013,1.12967,1.13001,375
2022.01.04,06:30,1.13002,1.13056,1.12998,1.13005,485
2022.01.04,07:00,1.13006,1.13057,1.13005,1.13041,396
2022.01.04,07:30,1.13040,1.13053,1.13016,1.13047,427
2022.01.04,08:00,1.13048,1.13072,1.12940,1.12946,449
2022.01.04,08:30,1.12947,1.12980,1.12920,1.12928,458
2022.01.04,09:00,1.12932,1.12942,1.12846,1.12857,1319
2022.01.04,09:30,1.12857,1.12927,1.12832,1.12913,1615
2022.01.04,10:00,1.12913,1.13003,1.12871,1.12964,2326
2022.01.04,10:30,1.12963,1.12976,1.12888,1.12893,1619
2022.01.04,11:00,1.12893,1.13065,1.12831,1.13053,1801
2022.01.04,11:30,1.13054,1.13079,1.12963,1.13017,1731
2022.01.04,12:00,1.13017,1.13055,1.12982,1.13021,1587
2022.01.04,12:30,1.13022,1.13046,1.12944,1.12948,1417
2022.01.04,13:00,1.12944,1.12962,1.12790,1.12814,2029
2022.01.04,13:30,1.12813,1.12853,1.12760,1.12760,1967
2022.01.04,14:00,1.12760,1.12833,1.12721,1.12765,2343
2022.01.04,14:30,1.12764,1.12812,1.12728,1.12729,2072
2022.01.04,15:00,1.12730,1.12898,1.12729,1.12889,2438
2022.01.04,15:30,1.12889,1.12889,1.12762,1.12798,2109
2022.01.04,16:00,1.12800,1.12879,1.12773,1.12812,2352
2022.01.04,16:30,1.12816,1.12871,1.12784,1.12859,2711
2022.01.04,17:00,1.12845,1.13165,1.12831,1.13112,3528
2022.01.04,17:30,1.13116,1.13224,1.13085,1.13088,3603
2022.01.04,18:00,1.13090,1.13154,1.12892,1.12916,2964
2022.01.04,18:30,1.12915,1.12950,1.12854,1.12943,2143
2022.01.04,19:00,1.12943,1.12958,1.12895,1.12920,976
2022.01.04,19:30,1.12921,1.12948,1.12883,1.12936,1036
2022.01.04,20:00,1.12935,1.12942,1.12900,1.12916,789
2022.01.04,20:30,1.12917,1.12917,1.12794,1.12800,1110
2022.01.04,21:00,1.12800,1.12904,1.12779,1.12889,903
2022.01.04,21:30,1.12889,1.12930,1.12869,1.12875,848
2022.01.04,22:00,1.12876,1.12893,1.12820,1.12821,632
2022.01.04,22:30,1.12823,1.12876,1.12807,1.12845,990
2022.01.04,23:00,1.12843,1.12862,1.12812,1.12835,231
2022.01.04,23:30,1.12838,1.12874,1.12814,1.12859,322
2022.01.05,00:00,1.12825,1.12879,1.12812,1.12866,151
2022.01.05,00:30,1.12865,1.12874,1.12841,1.12841,49
2022.01.05,01:00,1.12826,1.12865,1.12819,1.12843,178
2022.01.05,01:30,1.12842,1.12850,1.12818,1.12829,170
2022.01.05,02:00,1.12828,1.12856,1.12821,1.12832,208
